party_affiliation;quotes_1996_1999;quotes_2019_2022
ÖVP;1812;2724
SPÖ;1573;1271
FPÖ;1468;1015
GRÜNE;1069;2350
LIF;146;0
;91;353
STRONACH;0;4
NEOS;0;908
JETZT;0;165
BZÖ;0;10
